Id,Label,Type,Occurrences Count,Chapter Title,AR,WG
chapter1_71081bfd739de13758d49eb4846ae9bb,ar1.wg1.1,Chapter 1,10,Greenhouse Gases and AER,AR1,WG1
chapter1_c398448194c0dc810f4a60d117e06bab,ar1.wg1.10,Chapter 1,15,Effects on Ecosystems,AR1,WG1
chapter1_5bf2d595353fcdb4a84204fd0b4a82b1,ar1.wg1.11,Chapter 1,1,Narrowing the Uncertainties,AR1,WG1
chapter1_66395b0b0747d140e48543b4373c6fa3,ar1.wg1.12,Chapter 1,22,Annex,AR1,WG1
chapter1_f74d1601c4524477e684322182ea3473,ar1.wg1.2,Chapter 1,4,Radiative Forcing of Climate,AR1,WG1
chapter1_79540681ddf16b81a460f4b05fed22f8,ar1.wg1.3,Chapter 1,1,Processes and Modelling,AR1,WG1
chapter1_ca534c594f90c673b3a505b232bf7cf1,ar1.wg1.4,Chapter 1,12,Validation of Climate Models,AR1,WG1
chapter1_ff9a1f35e614ad1eeab9b62fdf729b72,ar1.wg1.5,Chapter 1,16,Equilibrium Climate Change,AR1,WG1
chapter1_81f140d66d0cbc98dea9a815dcd5dd32,ar1.wg1.6,Chapter 1,2,Time-Dependent Greenhouse Gas Induced Climate Change,AR1,WG1
chapter1_259da700355d06fae769587c6de79bac,ar1.wg1.7,Chapter 1,28,Observed Climate Variations and Change,AR1,WG1
chapter1_bbac3009ad0849f477681ebb5f97ec90,ar1.wg1.8,Chapter 1,12,Detection of the Greenhouse Effect in the Observations,AR1,WG1
chapter1_269fc409b0aae8b4bbff1ada5cb72ad4,ar1.wg1.9,Chapter 1,12,Sea Level Rise,AR1,WG1
chapter1_d4df53af9468099b32a0939c6dafad23,ar1.wg2.2,Chapter 1,3,Agriculture and Forestry,AR1,WG2
chapter1_aa9fcea39511a2444a474ffc0ae624aa,ar1.wg2.5,Chapter 1,1,Human Settlement; the Energy Transport and Industrial sectors; Human Health; Air quality and Changes in Ultraviolet-B Radiation,AR1,WG2
chapter1_4f138f9b797bf8ad61781630dd727775,ar2.wg1.1,Chapter 1,1,The Climate System: an Overview,AR2,WG1
chapter1_e9af2f4272271a53495e269a188ed446,ar2.wg1.10,Chapter 1,4,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,AR2,WG1
chapter1_f772ecace0b555a42538fef658caceb0,ar2.wg1.11,Chapter 1,4,Advancing our Understanding,AR2,WG1
chapter1_8ccfc19bbb3babc3c783ed7f7dbb814f,ar2.wg1.2,Chapter 1,13,Radiative Forcing of Climate Change,AR2,WG1
chapter1_4bebf35e2ae7d4b54089fb798213b81f,ar2.wg1.3,Chapter 1,31,Observed Climate Variability and Change,AR2,WG1
chapter1_d54e8a9d461b22394d2270dff01b064d,ar2.wg1.4,Chapter 1,1,Climate Processes,AR2,WG1
chapter1_da70f8a0a8f9edefa6de54a42b34f35a,ar2.wg1.5,Chapter 1,10,Climate Models - Evaluation,AR2,WG1
chapter1_9fed40b88b125eaed188d9b92525c922,ar2.wg1.6,Chapter 1,27,Climate Models – Projections for the Future,AR2,WG1
chapter1_15e728ad46ca55e6f9c541517f8831a5,ar2.wg1.7,Chapter 1,7,Changes in Sea Level,AR2,WG1
chapter1_2d56f1d143f1d7e73a994f0ea60f200a,ar2.wg1.8,Chapter 1,22,Detection of Climate Change and Attribution of Causes,AR2,WG1
chapter1_fda1e2c290332654a6622c697da6fa00,ar2.wg1.9,Chapter 1,19,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,AR2,WG1
chapter1_c1ac159a9658d9638e7a3ba256548337,ar2.wg1.ts,Chapter 1,19,Technical Summary,AR2,WG1
chapter1_e7b02736a74feaf4102ee2d86327b2f8,ar2.wg2.1,Chapter 1,1,Climate Change Impacts on Forests,AR2,WG2
chapter1_469c58a5c512ab01d1fe267f52241269,ar2.wg2.11,Chapter 1,8,"Industry, Energy and Transportation: Impacts and Adaptation",AR2,WG2
chapter1_fb389b7bc3d2060cb3a400f31cea3e7c,ar2.wg2.12,Chapter 1,6,Human Settlements in a Changing Climate: Impacts and Adaptation,AR2,WG2
chapter1_c95e0f89302d7f467b23874c16aabcbe,ar2.wg2.13,Chapter 1,3,Agriculture in a Changing Climate: Impacts and Adaptation,AR2,WG2
chapter1_974f37033af3f34b05053db198e5d9d0,ar2.wg2.15,Chapter 1,4,Wood Production under Changing Climate and Land Use,AR2,WG2
chapter1_d60ff026f29758fd9cd77dadf92a4715,ar2.wg2.19,Chapter 1,34,Energy Supply Mitigation Options,AR2,WG2
chapter1_995664804c4507b7e914666c094e6e2c,ar2.wg2.2,Chapter 1,1,"Rangelands in a Changing Climate: Impacts, Adaptations and Mitigation",AR2,WG2
chapter1_32ab511e69956f217c022a2cc754b910,ar2.wg2.20,Chapter 1,5,Industry,AR2,WG2
chapter1_5b81be72bcc349c06c7e4cdc632c7d6c,ar2.wg2.21,Chapter 1,17,Mitigation Options in the Transportation Sector,AR2,WG2
chapter1_2403546232534aba152b6991b7d8f841,ar2.wg2.22,Chapter 1,9,Mitigation Options for Human Settlements,AR2,WG2
chapter1_1cd1b02880037dc23b2541dfaca7fe6f,ar2.wg2.23,Chapter 1,1,Agricultural Options for Mitigation of Greenhouse Gas Emissions,AR2,WG2
chapter1_84c31ee60fc3f15c3b3b18a75990430e,ar2.wg2.24,Chapter 1,13,Management of Forests for Mitigation of Greenhouse Gas Emissions,AR2,WG2
